Operating System,Item Weight,Computer Memory Type,Batteries,Chipset Brand,Card Description,Max Screen Resolution
Windows 10 Home,5.07 pounds,DDR4 SDRAM,1 Lithium ion batteries required. (included),NVIDIA,Dedicated,
Windows 10 Home,5.29 pounds,DDR4 SDRAM,1 Lithium ion batteries required. (included),NVIDIA,Dedicated,1920 x 1080
Windows 10 Home,2.65 pounds,,1 Lithium ion batteries required. (included),AMD,Integrated,
Windows 10 Home,5.74 pounds,DDR4 SDRAM,1 Lithium ion batteries required. (included),Intel,Integrated,1920 x 1080
Google Chrome,2.76 pounds,Unknown,1 Lithium ion batteries required. (included),Intel,Integrated,
Windows 10 Home,5.5 pounds,DDR3 SDRAM,1 Lithium ion batteries required.,Nvidia,Dedicated,1920 x 1080
Windows 10 Home,2.65 pounds,,1 Lithium ion batteries required. (included),Intel,Integrated,
Chrome OS,3.5 pounds,Unknown,1 Lithium Polymer batteries required. (included),Intel,Integrated,2256 x 1504 Pixels
Windows 10 Home,2.2 pounds,DDR4 SDRAM,1 Lithium Polymer batteries required. (included),Intel,Integrated,
Chrome OS,3.28 pounds,DDR3 SDRAM,1 Lithium Polymer batteries required. (included),Mediatech,Integrated,1920 x 1080 Pixels
Windows 10,3.31 pounds,DDR4 SDRAM,1 Lithium ion batteries required. (included),Intel,Integrated,1920 x 1080
Windows 10 Home,5.84 pounds,DDR4 SDRAM,1 Lithium Metal batteries required. (included),NVIDIA,Dedicated,1920 x 1080
Windows 10,2.8 pounds,DDR3 SDRAM,1 Lithium ion batteries required. (included),Intel,Integrated,1920 x 1080 Pixels
Chrome OS,4.41 pounds,Unknown,1 Lithium Polymer batteries required. (included),Intel,Integrated,1280 x 800 Pixels
Windows 10 Home,4.63 pounds,DDR4 SDRAM,1 Lithium ion batteries required. (included),AMD,Dedicated,1920 x 1080 Pixels
